campus,total_alunos,alunos_presencial,alunos_ead
CAMPUS ACARAU,1080,1062,0
CAMPUS ACOPIARA,172,172,0
CAMPUS ARACATI,997,997,0
CAMPUS BATURITE,923,649,0
CAMPUS BOA VIAGEM,1060,917,0
CAMPUS CAMOCIM,820,820,0
CAMPUS CANINDE,641,641,0
CAMPUS CAUCAIA,2064,1033,0
CAMPUS CEDRO,1448,1389,0
CAMPUS CRATEUS,1471,1471,0
CAMPUS CRATO,1427,1404,0
CAMPUS FORTALEZA,9377,8945,0
CAMPUS GUARAMIRANGA,65,51,0
CAMPUS HORIZONTE,270,241,0
CAMPUS IGUATU,1588,1588,0
CAMPUS ITAPIPOCA,606,606,0
CAMPUS JAGUARIBE,731,701,0
CAMPUS JAGUARUANA,262,158,0
CAMPUS JUAZEIRO DO NORTE,2482,1793,0
CAMPUS LIMOEIRO DO NORTE,1734,1703,0
CAMPUS MARACANAU,3366,2327,0
CAMPUS MARANGUAPE,12,12,0
CAMPUS MOMBACA,8,8,0
CAMPUS MORADA NOVA,226,226,0
CAMPUS PARACURU,1072,591,0
CAMPUS PECEM,800,759,0
CAMPUS QUIXADA,1563,1121,0
CAMPUS SOBRAL,1715,1637,0
CAMPUS TABULEIRO DO NORTE,658,597,0
CAMPUS TAUA,676,659,0
CAMPUS TIANGUA,905,839,0
CAMPUS UBAJARA,312,283,0
CAMPUS UMIRIM,829,650,0
